observation_name,observation_sum,E1aJ0_C,E1aJ16_A,E1aJ40_B,E1aJ40_E,E1aJ5_B,E1bJ16_C,E1bJ40_C,E1bJ5_C,E1cJ16_D,E1cJ40_D,E1cJ5_D,E4aJ16_C,E4aJ40_C,E4aJ5_C,E5aJ16_A,E5aJ40_C,E5aJ5_D,E6aJ16_A,E6aJ40_B,E6aJ40_E,E6aJ48_A,E6aJ54_D,E6aJ5_B,E6bJ16_D,E6bJ40_D,E6bJ54_D,E7aJ16_A,E7aJ26_A,E7aJ40_B,E7aJ40_D,E7aJ40_E,E7aJ48_B,E7aJ48_E,E7aJ54_D,E7aJ5_B,E7aJ61_A,E7aJ69_B,E7aJ69_E,E7aJ96_D,E7bJ26_D,E7bJ40_D,E7bJ54_D,E7bJ69_D,E7bJ69_E,E8aJ0_C,E8aJ111_C,E8aJ16_A,E8aJ40_C,E8aJ5_C,E8aJ69_B,E8aJ69_E,E8aJ82_D,E8aJ96_B,E8aJ96_E,E8bJ111_C,E8bJ16_B,E8bJ40_C,E8bJ5_C,E8bJ69_B,E8bJ69_E,E8bJ82_C,E8bJ96_B,E8bJ96_E,E8cJ111_C,E8cJ16_B,E8cJ40_C,E8cJ5_C,E8cJ69_B,E8cJ69_E,E8cJ82_D,E8cJ96_B,E8cJ96_E,E9aJ16_A,E9aJ40_C,E9aJ5_C
Cluster_34,2430,38,22,1,61,5,38,46,28,7,14,6,20,50,23,25,25,4,15,2,66,15,39,0,8,10,18,16,21,4,36,72,6,148,12,1,43,7,254,49,12,3,46,30,105,0,10,64,0,13,3,75,11,10,190,29,2,1,3,2,128,10,8,172,30,0,7,3,5,55,8,9,91,22,17,1
Cluster_35,2316,1,0,3,31,0,2,0,1,4,2,1,0,11,0,1,11,0,8,7,78,16,25,2,1,45,20,7,15,17,25,70,8,112,41,3,47,13,210,111,7,17,76,36,102,1,24,21,5,2,17,76,35,31,165,42,5,3,3,16,125,15,25,184,31,4,10,2,33,80,14,25,116,3,14,2
Cluster_36,2244,63,65,3,57,9,35,27,48,45,92,26,49,46,35,87,38,26,94,3,61,42,83,7,68,52,59,28,29,2,28,26,2,53,22,9,38,2,23,40,12,19,41,32,37,8,7,82,5,22,2,57,15,2,22,23,1,5,14,5,35,5,5,58,22,4,11,7,9,44,15,3,43,17,20,13
Cluster_37,2255,70,5,0,69,0,58,72,34,3,22,5,39,94,34,6,67,4,3,0,105,1,33,0,7,15,13,3,3,0,23,59,0,60,11,0,7,0,122,32,7,9,42,15,55,1,18,35,6,31,0,87,13,0,100,40,0,6,11,0,137,13,0,119,58,0,28,17,0,62,8,0,119,13,111,15
Cluster_38,2246,21,10,2,30,0,21,26,15,1,23,2,14,26,5,20,22,4,9,1,46,5,43,0,6,16,13,13,11,1,20,22,2,45,9,1,22,2,101,78,5,6,39,14,50,3,21,32,2,14,4,145,30,8,196,46,0,3,4,3,165,14,15,232,73,1,11,4,6,116,40,7,215,6,7,1
Cluster_39,2170,8,17,2,95,1,17,55,6,7,39,0,17,66,2,11,61,2,8,0,102,29,86,0,7,30,44,2,7,0,19,28,0,91,25,0,33,0,225,159,7,7,46,62,115,0,1,4,0,2,0,7,2,0,12,110,0,0,0,0,34,12,0,420,0,0,2,0,0,5,1,10,8,1,1,0
Cluster_40,5176,158,52,7,96,14,78,102,67,34,73,28,51,110,45,58,96,19,64,15,142,44,105,17,31,51,54,42,42,16,73,94,15,172,46,19,67,21,310,176,22,16,70,51,86,11,42,116,5,72,23,168,49,48,199,83,13,5,16,19,218,25,91,202,117,17,36,22,58,118,46,44,240,33,64,27
Cluster_41,3286,9,33,0,15,0,5,1,11,17,11,9,4,1,10,33,2,5,52,0,71,121,7,0,12,26,2,36,80,0,40,64,0,92,42,0,105,0,161,130,10,13,66,30,110,5,16,155,1,3,0,133,52,0,253,21,0,1,12,0,173,19,0,341,41,0,9,2,0,131,56,0,362,55,8,1
Cluster_42,1933,18,18,1,69,3,8,8,7,8,26,6,2,14,7,15,10,4,11,1,99,12,28,1,7,9,15,11,9,5,20,65,4,166,18,0,54,2,330,63,9,5,41,26,173,2,4,33,0,3,3,49,4,5,78,0,1,0,1,0,81,3,3,116,4,1,1,3,3,52,4,2,55,9,5,0
Cluster_43,1936,20,52,1,187,7,44,52,16,32,63,9,39,60,15,76,67,10,27,6,163,113,105,0,9,43,72,6,8,1,27,53,2,113,16,2,22,0,167,8,6,6,31,20,77,2,0,25,1,7,1,4,0,0,3,0,2,0,7,0,3,0,0,1,1,0,1,3,0,9,2,0,2,4,1,4
Cluster_44,1885,65,34,12,98,14,42,60,34,24,38,16,36,69,34,32,55,6,24,20,129,26,63,12,18,32,28,9,16,15,41,56,19,105,20,15,15,10,151,33,8,9,44,26,62,9,2,21,2,29,2,11,0,3,7,5,4,3,5,4,26,2,3,22,0,6,3,9,0,8,0,4,2,6,3,9
Cluster_45,1860,12,46,1,67,0,10,9,5,12,17,13,3,5,8,53,6,6,58,1,52,24,14,0,9,13,7,28,30,0,14,57,0,51,6,0,40,1,73,59,9,6,19,4,41,1,9,124,3,9,1,71,15,1,101,1,0,2,7,2,99,5,1,158,16,6,11,3,2,95,9,2,156,44,12,5
Cluster_46,1819,27,276,12,114,31,79,26,49,47,32,38,82,27,42,236,22,34,121,9,104,40,3,14,41,31,7,35,17,4,10,15,2,16,5,18,7,1,4,2,9,4,6,2,5,6,0,39,0,11,0,2,0,0,5,1,1,1,7,0,0,0,1,5,0,1,1,5,1,3,2,0,1,15,1,4
Cluster_47,1861,304,22,1,1,8,38,1,84,16,1,28,21,1,56,12,3,12,16,2,17,0,2,2,11,7,4,10,20,6,74,52,5,87,32,0,42,11,302,179,15,7,111,39,47,8,1,17,1,29,2,11,1,1,4,7,3,0,8,0,15,0,0,12,2,2,3,14,3,1,3,0,1,0,1,2
Cluster_48,1750,63,90,1,8,11,156,9,307,71,9,101,178,10,211,58,7,56,38,1,16,3,9,3,47,11,3,16,11,0,13,8,0,5,0,5,4,0,8,6,7,1,6,2,6,3,0,21,0,27,0,11,1,0,8,7,2,0,10,1,13,3,0,9,9,1,5,9,0,11,2,0,10,1,9,2
Cluster_49,1711,2,2,15,150,2,3,68,2,3,78,0,0,34,0,2,25,0,3,6,91,27,113,2,1,15,47,29,54,25,51,100,9,91,12,0,11,2,21,5,26,5,16,9,25,0,6,10,0,1,7,54,13,36,152,0,6,1,0,17,119,1,11,19,4,3,7,0,10,21,1,5,25,0,0,0
Cluster_50,1696,41,19,2,12,13,41,50,51,20,48,18,34,60,42,21,44,11,34,3,18,38,72,4,30,28,31,23,12,7,65,15,7,17,37,3,43,2,23,42,11,30,60,20,2,3,13,39,3,25,12,41,29,13,10,36,1,5,9,7,30,24,11,19,44,4,7,5,10,20,14,8,25,7,14,4
Cluster_51,2205,1,1,0,4,0,0,2,1,2,4,1,1,3,1,1,0,0,2,0,7,0,3,0,1,2,2,1,1,0,3,7,0,13,1,0,6,0,50,36,2,0,5,2,19,0,23,11,1,0,5,114,30,23,443,27,3,2,0,7,200,5,33,281,104,2,3,0,11,164,27,12,437,3,49,0
Cluster_52,1557,50,17,6,30,20,27,24,18,16,38,12,18,32,14,21,19,7,24,10,39,16,43,14,22,12,13,7,15,16,32,18,6,35,11,7,15,10,31,43,11,7,24,9,20,9,9,58,3,27,18,23,11,14,36,32,8,1,15,14,38,16,50,44,30,10,16,14,25,27,15,20,46,18,23,8
Cluster_53,1553,129,39,0,15,0,42,30,80,24,71,36,15,12,22,26,20,2,44,0,13,14,40,0,19,45,20,28,12,0,22,5,0,14,18,1,31,0,58,154,32,2,38,5,4,9,8,2,3,29,0,23,14,0,27,6,0,2,32,0,19,4,0,31,29,0,24,16,0,16,14,0,19,20,12,12
